Name,Category,Cost,Weight,Description
Vial,Adventuring Gear,1 gp,0.1 lb.,Holds 1 oz
Waterskin,Adventuring Gear,1 gp,4 lb.,Water container
Whetstone,Adventuring Gear,2 cp,1 lb.,Blade sharpening

Acid (flask),Special Substance,10 gp,1 lb.,Splash weapon; 1d6 acid damage; 1 splash
Alchemist's fire (flask),Special Substance,20 gp,1 lb.,Splash weapon; 1d6 fire + 1d6 next round
Antitoxin (vial),Special Substance,50 gp,,+5 on Fortitude vs poison for 1 hour
Everburning torch,Special Substance,110 gp,1 lb.,Permanent 20 ft illumination
Holy water (flask),Special Substance,25 gp,1 lb.,2d4 damage to undead/evil outsiders
Smokestick,Special Substance,20 gp,0.5 lb.,Creates 10 ft cube of smoke
Sunrod,Special Substance,2 gp,1 lb.,30 ft illumination for 6 hours
Tanglefoot bag,Special Substance,50 gp,4 lb.,Entangles target; DC 15 Reflex
Thunderstone,Special Substance,30 gp,1 lb.,DC 15 Fort or deafened 1 hour
Tindertwig,Special Substance,1 gp,,Quick fire starting
Alchemist's lab,Tools,500 gp,40 lb.,+2 on Craft (alchemy)
Artisan's tools,Tools,5 gp,5 lb.,Basic craft tools
Artisan's tools (masterwork),Tools,55 gp,5 lb.,+2 on Craft checks
Climber's kit,Tools,80 gp,5 lb.,+2 on Climb checks
Disguise kit,Tools,50 gp,8 lb.,+2 on Disguise; 10 uses
Healer's kit,Tools,50 gp,1 lb.,+2 on Heal; 10 uses
Holy symbol (wooden),Tools,1 gp,,Divine focus
Holy symbol (silver),Tools,25 gp,1 lb.,Divine focus
Hourglass,Tools,25 gp,1 lb.,Time keeping
Magnifying glass,Tools,100 gp,,+2 Appraise small items; fire starting
Musical instrument (common),Tools,5 gp,3 lb.,Performance tool
Musical instrument (masterwork),Tools,100 gp,3 lb.,+2 on Perform
Scale (merchant's),Tools,2 gp,1 lb.,+2 Appraise by weight
Spell component pouch,Tools,5 gp,2 lb.,Holds spell components
Spellbook (blank),Tools,15 gp,3 lb.,100 pages
Thieves' tools,Tools,30 gp,1 lb.,For Disable Device and Open Lock
Thieves' tools (masterwork),Tools,100 gp,2 lb.,+2 on Disable Device and Open Lock
Tool (masterwork),Tools,50 gp,1 lb.,+2 on related skill
Water clock,Tools,1000 gp,200 lb.,Accurate to 30 min/day
Artisan's outfit,Clothing,1 gp,4 lb.,Work clothes
Cleric's vestments,Clothing,5 gp,6 lb.,Religious garb
Cold weather outfit,Clothing,8 gp,7 lb.,+5 Fort vs cold exposure
Courtier's outfit,Clothing,30 gp,6 lb.,Fancy clothes for nobles
Entertainer's outfit,Clothing,3 gp,4 lb.,Performance attire
Explorer's outfit,Clothing,10 gp,8 lb.,Practical adventuring clothes
Monk's outfit,Clothing,5 gp,2 lb.,Loose comfortable clothes
Noble's outfit,Clothing,75 gp,10 lb.,Expensive clothing
Peasant's outfit,Clothing,1 sp,2 lb.,Simple clothes
Royal outfit,Clothing,200 gp,15 lb.,Ostentatious royal garb
Scholar's outfit,Clothing,5 gp,6 lb.,Robe and accessories
Traveler's outfit,Clothing,1 gp,5 lb.,Sturdy travel clothes
Ale (gallon),Food & Drink,2 sp,8 lb.,Alcoholic beverage
Ale (mug),Food & Drink,4 cp,1 lb.,Alcoholic beverage
Banquet (per person),Food & Drink,10 gp,,Fancy meal
Bread (loaf),Food & Drink,2 cp,0.5 lb.,Basic food
Cheese (hunk),Food & Drink,1 sp,0.5 lb.,Basic food
Inn stay (good per day),Food & Drink,2 gp,,Private room
Inn stay (common per day),Food & Drink,5 sp,,Raised floor with blanket
Inn stay (poor per day),Food & Drink,2 sp,,Floor near hearth
Meals (good per day),Food & Drink,5 sp,,Bread pastries beef peas ale
Meals (common per day),Food & Drink,3 sp,,Bread chicken stew carrots
Meals (poor per day),Food & Drink,1 sp,,Bread turnips onions water
Meat (chunk),Food & Drink,3 sp,0.5 lb.,Basic food
Wine (common pitcher),Food & Drink,2 sp,6 lb.,Alcoholic beverage
Wine (fine bottle),Food & Drink,10 gp,1.5 lb.,Quality alcoholic beverage
