Name,Proficiency,Category,Cost,Dmg (S),Dmg (M),Critical,Range Increment,Weight,Type
Sword (short),Martial,Light Melee,10 gp,1d4,1d6,19-20/x2,,2 lb.,Piercing
Battleaxe,Martial,One-Handed Melee,10 gp,1d6,1d8,x3,,6 lb.,Slashing
Flail,Martial,One-Handed Melee,8 gp,1d6,1d8,x2,,5 lb.,Bludgeoning
Longsword,Martial,One-Handed Melee,15 gp,1d6,1d8,19-20/x2,,4 lb.,Slashing
Pick (heavy),Martial,One-Handed Melee,8 gp,1d4,1d6,x4,,6 lb.,Piercing
Rapier,Martial,One-Handed Melee,20 gp,1d4,1d6,18-20/x2,,2 lb.,Piercing
Scimitar,Martial,One-Handed Melee,15 gp,1d4,1d6,18-20/x2,,4 lb.,Slashing
Trident,Martial,One-Handed Melee,15 gp,1d6,1d8,x2,10 ft.,4 lb.,Piercing
Warhammer,Martial,One-Handed Melee,12 gp,1d6,1d8,x3,,5 lb.,Bludgeoning
Falchion,Martial,Two-Handed Melee,75 gp,1d6,2d4,18-20/x2,,8 lb.,Slashing
Glaive,Martial,Two-Handed Melee,8 gp,1d8,1d10,x3,,10 lb.,Slashing
Greataxe,Martial,Two-Handed Melee,20 gp,1d10,1d12,x3,,12 lb.,Slashing
Greatclub,Martial,Two-Handed Melee,5 gp,1d8,1d10,x2,,8 lb.,Bludgeoning
Flail (heavy),Martial,Two-Handed Melee,15 gp,1d8,1d10,19-20/x2,,10 lb.,Bludgeoning
Greatsword,Martial,Two-Handed Melee,50 gp,1d10,2d6,19-20/x2,,8 lb.,Slashing
Guisarme,Martial,Two-Handed Melee,9 gp,1d6,2d4,x3,,12 lb.,Slashing
Halberd,Martial,Two-Handed Melee,10 gp,1d8,1d10,x3,,12 lb.,Piercing or slashing
Lance,Martial,Two-Handed Melee,10 gp,1d6,1d8,x3,,10 lb.,Piercing
Ranseur,Martial,Two-Handed Melee,10 gp,1d6,2d4,x3,,12 lb.,Piercing
Scythe,Martial,Two-Handed Melee,18 gp,1d6,2d4,x4,,10 lb.,Piercing or slashing
Longbow,Martial,Ranged,75 gp,1d6,1d8,x3,100 ft.,3 lb.,Piercing
Longbow (composite),Martial,Ranged,100 gp,1d6,1d8,x3,110 ft.,3 lb.,Piercing
Shortbow,Martial,Ranged,30 gp,1d4,1d6,x3,60 ft.,2 lb.,Piercing
Shortbow (composite),Martial,Ranged,75 gp,1d4,1d6,x3,70 ft.,2 lb.,Piercing
Kama,Exotic,Light Melee,2 gp,1d4,1d6,x2,,2 lb.,Slashing
Nunchaku,Exotic,Light Melee,2 gp,1d4,1d6,x2,,2 lb.,Bludgeoning
Sai,Exotic,Light Melee,1 gp,1d3,1d4,x2,10 ft.,1 lb.,Bludgeoning
Siangham,Exotic,Light Melee,3 gp,1d4,1d6,x2,,1 lb.,Piercing
Sword (bastard),Exotic,One-Handed Melee,35 gp,1d8,1d10,19-20/x2,,6 lb.,Slashing
Waraxe (dwarven),Exotic,One-Handed Melee,30 gp,1d8,1d10,x3,,8 lb.,Slashing
Whip,Exotic,One-Handed Melee,1 gp,1d2,1d3,x2,,2 lb.,Slashing
Axe (orc double),Exotic,Two-Handed Melee,60 gp,1d6/1d6,1d8/1d8,x3,,15 lb.,Slashing
Chain (spiked),Exotic,Two-Handed Melee,25 gp,1d6,2d4,x2,,10 lb.,Piercing
Flail (dire),Exotic,Two-Handed Melee,90 gp,1d6/1d6,1d8/1d8,x2,,10 lb.,Bludgeoning
Hammer (gnome hooked),Exotic,Two-Handed Melee,20 gp,1d6/1d4,1d8/1d6,x3/x4,,6 lb.,Bludgeoning/Piercing
Sword (two-bladed),Exotic,Two-Handed Melee,100 gp,1d6/1d6,1d8/1d8,19-20/x2,,10 lb.,Slashing
Urgrosh (dwarven),Exotic,Two-Handed Melee,50 gp,1d6/1d4,1d8/1d6,x3,,12 lb.,Slashing or piercing
Bolas,Exotic,Ranged,5 gp,1d3,1d4,x2,10 ft.,2 lb.,Bludgeoning
Crossbow (hand),Exotic,Ranged,100 gp,1d3,1d4,19-20/x2,30 ft.,2 lb.,Piercing
Crossbow (repeating heavy),Exotic,Ranged,400 gp,1d8,1d10,19-20/x2,120 ft.,12 lb.,Piercing
Crossbow (repeating light),Exotic,Ranged,250 gp,1d6,1d8,19-20/x2,80 ft.,6 lb.,Piercing
Net,Exotic,Ranged,20 gp,,,,,6 lb.,
Shuriken,Exotic,Ranged,1 gp,1,1d2,x2,10 ft.,0.5 lb.,Piercing


Name,Type,Category,Cost,AC Bonus,Max Dex Bonus,Armor Check Penalty,Arcane Spell Failure,Speed (30 ft.),Speed (20 ft.),Weight
Padded,Armor,Light,5 gp,1,8,0,5%,30 ft.,20 ft.,10 lb.
Leather,Armor,Light,10 gp,2,6,0,10%,30 ft.,20 ft.,15 lb.
Studded leather,Armor,Light,25 gp,3,5,-1,15%,30 ft.,20 ft.,20 lb.
Chain shirt,Armor,Light,100 gp,4,4,-2,20%,30 ft.,20 ft.,25 lb.
Hide,Armor,Medium,15 gp,3,4,-3,20%,20 ft.,15 ft.,25 lb.
Scale mail,Armor,Medium,50 gp,4,3,-4,25%,20 ft.,15 ft.,30 lb.
Chainmail,Armor,Medium,150 gp,5,2,-5,30%,20 ft.,15 ft.,40 lb.
Breastplate,Armor,Medium,200 gp,5,3,-4,25%,20 ft.,15 ft.,30 lb.
Splint mail,Armor,Heavy,200 gp,6,0,-7,40%,20 ft.,15 ft.,45 lb.
Banded mail,Armor,Heavy,250 gp,6,1,-6,35%,20 ft.,15 ft.,35 lb.
Half-plate,Armor,Heavy,600 gp,7,0,-7,40%,20 ft.,15 ft.,50 lb.
Full plate,Armor,Heavy,1500 gp,8,1,-6,35%,20 ft.,15 ft.,50 lb.
Buckler,Shield,Shield,15 gp,1,,-1,5%,,,5 lb.
Shield (light wooden),Shield,Shield,3 gp,1,,-1,5%,,,5 lb.
Shield (light steel),Shield,Shield,9 gp,1,,-1,5%,,,6 lb.
Shield (heavy wooden),Shield,Shield,7 gp,2,,-2,15%,,,10 lb.
Shield (heavy steel),Shield,Shield,20 gp,2,,-2,15%,,,15 lb.
Shield (tower),Shield,Shield,30 gp,4,2,-10,50%,,,45 lb.
