URI,Name,Prerequisites,Short Description,long_description,Books,Category
../ultimateMagic/ultimateMagicFeats.html#advanced-ranger-trap,Advanced Ranger Trap,"Trap class feature, ranger level 5th",Add +1 to the Disable Device and Perception check DCs for your ranger traps,"Your ranger traps are especially difficult to notice and avoid.

Prerequisites: Trap class feature, ranger level 5th.

Benefit: Add +1 to the Difficulty Class on all Perception and Disable Device skill checks to find or disable the traps you make with your trap class feature. Add a +1 to the Difficulty Class on all saving throws against the effects of the trap you make with your trap class feature.",Ultimate Magic,Untyped
../coreRulebook/feats.html#agile-maneuvers,Agile Maneuvers,—,Use your Dex bonus when calculating your CMB,"You've learned to use your quickness in place of brute force when performing combat maneuvers.

Benefit: You add your Dexterity bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus (see Combat) instead of your Strength bonus.

Normal: You add your Strength bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus.",Core Rulebook,Combat
../advancedPlayersGuide/advancedFeats.html#under-and-over,Under and Over,"Agile Maneuvers, Small size or smaller",Failed grapples against you cause attacker to fall prone,"You can slip under a foe trying to grab you, knocking him off balance.

Prerequisites: Agile Maneuvers, Small size or smaller.

Benefit: If an opponent larger than you attempts to grapple you and fails, you may make a trip attack as an immediate action against that opponent with a +2 bonus. This does not provoke an attack of opportunity.",Advanced Player's Guide,Combat
../advancedRaceGuide/uncommonRaces/gripplis.html#agile-tongue,Agile Tongue,Grippli,"Pick up items with your tongue, perform steal or disarm combat maneuvers, or make melee touch attacks","Your long pink tongue is capable of manipulating small items and even stealing objects.

Prerequisite: Grippli.

Benefit: You have a prehensile tongue with a range of 10 feet. You can pick up items weighing no more than 5 pounds, make Sleight of Hand checks, perform the steal or disarm combat maneuvers, or make melee touch attacks with your tongue.",Advanced Race Guide,Untyped
../advancedRaceGuide/featuredRaces/sylphs.html#airy-step,Airy Step,Sylph,+2 bonus on saving throws against effects with the air or electricity descriptors and effects that deal electricity damage; ignore the first 30 feet of falling damage,"The air responds to your innate elemental nature, protecting you from harm and cushioning your falls.

Prerequisite: Sylph.

Benefit: You gain a +2 bonus on saving throws against effects with the air or electricity descriptors and effects that deal electricity damage. You may ignore the first 30 feet of any fall when determining falling damage.",Advanced Race Guide,Untyped
../advancedRaceGuide/featuredRaces/sylphs.html#wings-of-air,Wings of Air,"Airy Step, character level 9th, sylph",+2 bonus on saving throws against effects with the air or electricity descriptors and effects that deal electricity damage; gain supernatural fly speed equal to base speed (good maneuverability),"The winds lift you, carrying you where you want to go.

Prerequisites: Airy Step, character level 9th, sylph.

Benefit: Your bonus on saves against effects with the air or electricity descriptors and effects that deal electricity damage increases to +4. In addition, you gain a supernatural fly speed equal to your base speed (good maneuverability). You may only fly with this ability when wearing light armor or no armor.",Advanced Race Guide,Untyped
../coreRulebook/feats.html#alertness,Alertness,—,+2 bonus on Perception and Sense Motive checks,"You often notice things that others might miss.

Benefit: You get a +2 bonus on Perception and Sense Motive skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",Core Rulebook,Untyped
../mythicAdventures/mythicFeats.html#alertness-mythic,Alertness - Mythic,Alertness,"Gain an additional +2 bonus on Perception and Sense Motive checks, and expend mythic power to treat one of these checks as if you rolled a 20","Your powers of perception surpass everyone's, whether used to observe your surroundings or the intentions of others.

Prerequisite: Alertness.

Benefit: The bonus on Perception and Sense Motive skill checks from Alertness increases by 2. In addition, you can expend one use of mythic power to treat a Perception or Sense Motive check as if you had rolled a natural 20. You must decide to use this ability before making the roll.",Mythic Adventures,Mythic
../ultimateMagic/ultimateMagicFeats.html#uncanny-alertness,Uncanny Alertness,Alertness,+1 on Perception and Sense Motive checks and a +2 bonus on saving throws against sleep and charm effects,"Your research into arcana and the nature of reality has given you heightened senses.

Prerequisite: Alertness.

Benefit: This feat gives you an additional +1 bonus on Perception and Sense Motive checks, and you gain a +2 bonus on saving throws against sleep and charm effects.",Ultimate Magic,Untyped
../coreRulebook/feats.html#alignment-channel,Alignment Channel,Channel energy class feature,Channel energy can heal or harm outsiders,"Choose chaos, evil, good, or law. You can channel divine energy to affect outsiders that possess this subtype.

Prerequisites: Ability to channel energy.

Benefit: Instead of its normal effect, you can choose to have your ability to channel energy heal or harm outsiders of the chosen alignment subtype. You must make this choice each time you channel energy. If you choose to heal or harm creatures of the chosen alignment subtype, your channel energy has no effect on other creatures. The amount of damage healed or dealt and the DC to halve the damage is otherwise unchanged.

Special: You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new alignment subtype. Whenever you channel energy, you must choose which type to effect.",Core Rulebook,Untyped
../mythicAdventures/mythicFeats.html#alignment-channel-mythic,Alignment Channel - Mythic,Alignment Channel,"Channeled energy effects creatures with the alignment you choose, not just the subtype","The power of your faith harms all creatures that follow the alignment you abhor.

Prerequisite: Alignment Channel.

Benefit: Your channeled energy affects any creatures with the alignment chosen when you took Alignment Channel (not just outsiders, and not just those with the alignment subtype), but grants only half healing or deals only half damage to these targets. Alternatively, you can expend two uses of mythic power when using Alignment Channel to affect all targets of the chosen alignment as if they had that alignment subtype.",Mythic Adventures,Mythic
../advancedPlayersGuide/advancedFeats.html#allied-spellcaster,Allied Spellcaster,Caster level 1st,+2 bonus on level checks to overcome spell resistance,"With the aid of an ally, you are skilled at piercing the protections of other creatures with your spells.

Prerequisite: Caster level 1st.

Benefit: Whenever you are adjacent to an ally who also has this feat, you receive a +2 competence bonus on level checks made to overcome spell resistance. If your ally has the same spell prepared (or known with a slot available if they are spontaneous spellcasters), this bonus increases to +4 and you receive a +1 bonus to the caster level for all level-dependent variables, such as duration, range, and effect.",Advanced Player's Guide,Teamwork
../occultAdventures/feats.html#alter-binary-mindscape,Alter Binary Mindscape,"Int 13, ability to cast instigate psychic duel",Opponent must spend 1 extra manifestation point to defend itself,"You can shift and change a binary mindscape to your advantage during a psychic duel.

Prerequisites: Int 13, ability to cast instigate psychic duel.

Benefit: When you cast instigate psychic duel and create a binary mindscape, the arena you create puts your enemy at a disadvantage. Your opponent must spend 1 more manifestation point than normal when creating any defensive manifestations.",Occult Adventures,Untyped
../ultimateCombat/ultimateCombatFeats.html#amateur-gunslinger,Amateur Gunslinger,No levels in a class with grit class feature,Gain limited amount of grit and access to gunslinger deeds,"Although you are not a gunslinger, you have and can use grit.

Prerequisite: You have no levels in a class that has the grit class feature.

Benefit: You gain a small amount of grit and the ability to perform a single 1st-level deed from the gunslinger deed class feature. At the start of the day, you gain 1 grit point, though throughout the day you can gain grit points up to a maximum of your Wisdom modifier (minimum 1). You can regain grit using the rules for the gunslinger's grit class feature (see page 9). You can spend this grit to perform the 1st-level deed you chose upon taking this feat, and any other deed you have gained through feats or magic items.

Special: If you gain levels in a class that grants the grit class feature, you can immediately trade this feat for the Extra Grit feat.",Ultimate Combat,Combat
http://paizo.com/pathfinder/prd/ultimateCombat/ultimateCombatFeats.html#extra-grit,Extra Grit,Grit class feature or Amateur Gunslinger,"Gain 2 extra grit points per day, and maximum grit increases by 2","You have more grit than the ordinary gunslinger.

Prerequisites: Grit class feature or the Amateur Gunslinger feat.

Benefit: You gain 2 extra grit points at the start of each day, and your maximum grit increases by 2.

Normal: If you are a gunslinger, you gain your Wisdom modifier in grit points at the start of each day, which is also your maximum grit. If you have the Amateur Gunslinger feat, you gain 1 grit point at the start of each day, and your maximum grit is equal to your Wisdom modifier.

Special: If you possess levels in the gunslinger class, you can take this feat multiple times.",Ultimate Combat,Grit
http://paizo.com/pathfinder/prd/ultimateCombat/ultimateCombatFeats.html#no-name,No Name,"Grit class feature or Amateur Gunslinger, Bluff 4 ranks","Gain +2 on Bluff checks, and spend grit to gain +10 on Disguise checks","You don't need an elaborate disguise to keep your identity under wraps.

Prerequisites: Grit class feature or Amateur Gunslinger feat, Bluff 4 ranks.

Benefit: You often rely on surprise and misdirection in your social dealings. You gain a +2 bonus on Bluff checks, and you can spend 1 grit point to gain a +10 bonus on Disguise checks for 10 minutes per your gunslinger level (minimum 10 minutes). This deed does not actually change your appearance, but rather allows you to hide your identity in other ways.",Ultimate Combat,Grit
http://paizo.com/pathfinder/prd/ultimateCombat/ultimateCombatFeats.html#secret-stash-deed,Secret Stash Deed,"Grit class feature or Amateur Gunslinger, Sleight of Hand 1 rank",Spend 1 grit point to recover powder or ammunition from your person,"You are so skilled at stashing small packets of firearm ammunition and black powder on your person that you sometimes surprise yourself when you find them.

Prerequisites: Grit class feature or Amateur Gunslinger feat, Sleight of Hand 1 rank.

Benefit: Spend 1 grit point while in combat to recover either 1 bullet and 1 dose of black powder or 1 alchemical cartridge from a hidden stash on your person that you had, until now, forgotten about. If the bullet and black powder or the alchemical cartridges are normal shot, you do not need to pay for the ammunition. If you want to recover any other kind of ammunition, you must pay for it with gold pieces from your character's wealth. The grit cost of this deed cannot be decreased by the Signature Deed feat, the true grit class feature, or any other similar effect that reduces the number of grit points you spend to use a deed. You also gain a +4 bonus on any Sleight of Hand checks made while gambling.",Ultimate Combat,Grit
../advancedClassGuide/feats.html#amateur-investigator,Amateur Investigator,"Int 13, 1 rank in at least one Knowledge skill, no levels in a class that has inspiration","Gain a minor pool of inspiration for use with Knowledge, Linguistics, or Spellcraft checks","Your knowledge is more than plain smarts—it's inspired.

Prerequisites: Int 13, 1 rank in at least one Knowledge skill, no levels in a class that has the inspiration class feature.

Benefit: Like an investigator, you have the ability to augment your Knowledge, Linguistics, and Spellcraft checks. You gain a pool of inspiration equal to your Intelligence modifier. You can expend one use of inspiration as a free action to add 1d6 to the result of a Knowledge, Linguistics, or Spellcraft check, as long as you are trained in that skill (even if you take 10 or take 20 on that check). You make this choice after the check is rolled and before the result of the roll is revealed. You can use inspiration only once per skill check. Your pool of inspiration refreshes each day, typically after you get a restful night's sleep.

Special: If you later gain levels in a class that has the inspiration class feature, you can immediately trade this feat for the Extra Inspiration feat.",Advanced Class Guide,Untyped
../advancedClassGuide/feats.html#studied-combatant,Studied Combatant,"Amateur Investigator, base attack bonus +6",Expend inspiration to gain a limited version of studied combat,"Your inspiration guides your strikes when you take a moment to assess your foe.

Prerequisites: Int 13, Amateur Investigator, base attack bonus +6, 1 rank in at least one Knowledge skill, no levels in a class that has the inspiration class feature.

Benefit: You can expend one use of inspiration as a move action to study a single enemy that you can see. When you do so, you gain a +2 insight bonus on melee attack rolls and a +2 bonus on damage rolls for a number of rounds equal to your Intelligence modifier. The bonus on damage rolls is precision damage, and is not multiplied on a critical hit. Once affected by this feat, a target cannot be affect by your use of it again for 24 hours.",Advanced Class Guide,Untyped
../advancedClassGuide/feats.html#improved-studied-combatant,Improved Studied Combatant,"Int 13, Studied Combatant, base attack bonus +8",Studied strike grants a +4 bonus on attack rolls and damage rolls,"Deep understanding of your foes' tics grants you the upper hand in combat.

Prerequisites: Int 13, Amateur Investigator, Studied Combatant, base attack bonus +8, 1 rank in at least one Knowledge skill, no levels in a class that has the inspiration class feature.

Benefit: Your bonuses for Studied Combatant increase to a +4 insight bonus on melee attack rolls and a +4 bonus on damage rolls. This feat otherwise works like the Studied Combatant feat.",Advanced Class Guide,Untyped
../advancedClassGuide/feats.html#amateur-swashbuckler,Amateur Swashbuckler,No levels in a class that has panache,Gain a minor pool of panache to use with a 1st-level swashbuckler deed of your choice,"Although you're not a swashbuckler, you have and can use panache.

Prerequisite: No levels in a class that has the panache class feature.

Benefit: You gain a small amount of panache and the ability to perform a single 1st-level swashbuckler deed. Choose a 1st-level deed from the swashbuckler's deeds class feature (you can't select opportune parry and riposte). Once chosen, this deed can't be changed.

At the start of each day, you gain 1 panache point. Throughout the day, you can gain a number of panache points, up to a maximum equal to your Charisma modifier (minimum 1). You can regain panache points as the swashbuckler's panache class feature. You can spend these points to perform the 1st-level deed you chose upon taking this feat as well as any other deeds you have gained through feats or magic items.

Special: If you later gain levels in a class that has the panache class feature, you can immediately trade this feat for the Extra Panache feat.",Advanced Class Guide,Combat
../advancedClassGuide/feats.html#disarming-threat-deed,Disarming Threat Deed,"Amateur Swashbuckler or panache class feature; Diplomacy 2 ranks, Intimidate 2 ranks",Use Intimidate without making the target unfriendly,"Even your threats are curiously charming.

Prerequisites: Amateur Swashbuckler or panache class feature; Diplomacy 2 ranks, Intimidate 2 ranks.

Benefit: When you succeed at an Intimidate check to force an opponent to act friendly toward you, you can spend 1 panache point to cause the target to regard you with indifference when the duration of the effect expires. A target influenced in this manner is unlikely to report you to authorities.

Normal: An opponent forced to act friendly toward you by Intimidate becomes unfriendly when the duration expires, and is likely to report you to the authorities.",Advanced Class Guide,Panache
../advancedClassGuide/feats.html#extra-panache,Extra Panache,Amateur Swashbuckler or panache class feature,Gain 2 extra panache points,"You have more panache than the ordinary swashbuckler.

Prerequisite: Amateur Swashbuckler or panache class feature.

Benefit: You gain 2 more panache points at the start of each day, and your maximum panache increases by 2.

Special: If you have levels in the swashbuckler class, you can take this feat multiple times. Its effects stack.",Advanced Class Guide,Panache
../advancedClassGuide/feats.html#pommel-strike-deed,Pommel Strike Deed,Amateur Swashbuckler or panache class feature; base attack bonus +3,Attack with a light or one-handed piercing weapon's pommel and knock down foes,"With a surprise swipe with your pommel, you can topple a foe.

Prerequisites: Amateur Swashbuckler or panache class feature; base attack bonus +3.

Benefit: You can spend 1 panache point to make a melee attack with the pommel of a light or one-handed piercing melee weapon as a standard action. You make this attack as if you were using the weapon normally (including any bonuses gained from the swashbuckler's finesse class feature, Weapon Finesse, or other similar feats and effects), but you deal 1d6 points of bludgeoning damage (or 1d4 if you are Small) instead of the weapon's normal damage. Regardless of your size, the critical threat range and critical multiplier of this attack are 20/×2, and they are not affected by Improved Critical, the keen weapon special ability, or similar effects. If the attack hits, you can attempt a combat maneuver check to knock the target prone as a free action.",Advanced Class Guide,Panache
../monsterCodex/frostGiants.html#ancestral-enmity,Ancestral Enmity,Giant subtype,Gain +2 melee attack against dwarves and gnomes,"You can counter the special defensive training the stouter races have against your kind.

Prerequisite: Giant subtype.

Benefits: You gain a +2 bonus on melee attack rolls against dwarves and gnomes.

Special: You may select this feat twice. Its effects stack.",Monster Codex,Combat
../advancedRaceGuide/featuredRaces/aasimars.html#angelic-blood,Angelic Blood,"Con 13, aasimar",Gain +2 bonus on saving throws against effects with the evil descriptor and to stabilize; undead or evil creatures take 1 damage when you take bleed or blood drain damage,"Your blood is infused with holy power.

Prerequisites: Con 13, aasimar.

Benefit: You gain a +2 bonus on saving throws against effects with the evil descriptor and on Constitution checks to stabilize when you are reduced to negative hit points (but not dead). Furthermore, each time you take bleed or blood drain damage, each undead creature or creature with the evil subtype that is currently adjacent to you also takes 1 point of damage.",Advanced Race Guide,Untyped
../advancedRaceGuide/featuredRaces/aasimars.html#angelic-flesh,Angelic Flesh,"Angelic Blood, aasimar",Take a -2 penalty on Disguise and Stealth but gain benefits,"Your skin shines like burnished metal.

Prerequisites: Angelic Blood, aasimar.

Benefit: You take a –2 penalty on Disguise and Stealth checks but gain one of the following benefits, depending on the metallic affinity of your flesh (choose one).

Brazen: You gain fire resistance 5 and a +2 bonus on saves against fire effects.

Golden: You gain a +2 bonus on saves against blindness, dazzling, patterns, and effects with the light descriptor. When you cast spells or use spell-like abilities that are from the illusion (pattern) subschool or have the light descriptor, you do so at +1 caster level.

Silver: You gain a +2 bonus on saves against paralysis, petrification, and poison, and your unarmed strikes or natural weapons count as silver for the purpose of overcoming damage reduction.

Steel: You gain a +1 natural armor bonus to AC, and your unarmed strikes or natural weapons count as cold iron for the purpose of overcoming damage reduction.",Advanced Race Guide,Untyped
../advancedRaceGuide/featuredRaces/aasimars.html#angel-wings,Angel Wings,"Angelic Blood, aasimar, character level 10th",Gain fly 30 ft.; Fly is a class skill,"Feathered wings sprout from your back.

Prerequisites: Angelic Blood, aasimar, character level 10th.

Benefit: You gain a pair of gleaming feathered wings that grant a fly speed of 30 feet (average maneuverability) if wearing light armor or unencumbered, or 20 feet (poor maneuverability) with a medium or heavy load or medium or heavy armor. Fly is a class skill for you.",Advanced Race Guide,Untyped
../advancedRaceGuide/featuredRaces/aasimars.html#metallic-wings,Metallic Wings,"Angelic Blood, Angelic Flesh, Angel Wings, aasimar, character level 11th",Gain 2 wing attacks that deal 1d4 slashing damage,"Your wing feathers are made of gleaming metal.

Prerequisites: Angelic Blood, Angelic Flesh, Angel Wings, aasimar, character level 11th.

Benefit: You gain two wing attacks. These are secondary natural attacks that deal 1d4 points of slashing damage (or 1d3 if you are Small).",Advanced Race Guide,Untyped
../coreRulebook/feats.html#animal-affinity,Animal Affinity,—,+2 bonus on Handle Animal and Ride checks,"You are skilled at working with animals and mounts.

Benefit: You get a +2 bonus on all Handle Animal and Ride skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",Core Rulebook,Untyped
../mythicAdventures/mythicFeats.html#animal-affinity-mythic,Animal Affinity - Mythic,Animal Affinity,"Gain an additional +2 bonus on Handle Animal and Ride checks, and expend mythic power to use speak with animals","You have a greater affinity with wild animals, and can speak with them.

Prerequisite: Animal Affinity.

Benefit: The bonus on Handle Animal and Ride skill checks from Animal Affinity increases by 2. In addition, you can expend one use of mythic power to speak with animals as the spell. Your caster level for this effect is equal to twice your tier.",Mythic Adventures,Mythic
../advancedClassGuide/feats.html#animal-soul,Animal Soul,Animal companion or mount class feature,You can shrug off spells that don't work on animals,"Your close bond with an animal allows you to ignore harmful magic that cannot affect your wild side.

Prerequisite: Animal companion or mount class feature.

Benefit: You can choose not to allow spells and effects to effect you if they would not be capable of affecting both your original creature type and the animal creature type.",Advanced Class Guide,Untyped
../ultimateMagic/ultimateMagicFeats.html#antagonize,Antagonize,—,Use Diplomacy or Intimidate to goad creatures,"Whether with biting remarks or hurtful words, you are adept at making creatures angry with you.

Benefit: You can make Diplomacy and Intimidate checks to make creatures respond to you with hostility. No matter which skill you use, antagonizing a creature takes a standard action that does not provoke attacks of opportunity, and has a DC equal to 10+ the target's Hit Dice + the target's Wisdom modifier. You cannot make this check against a creature that does not understand you or has an Intelligence score of 3 or lower. Before you make these checks, you may make a Sense Motive check (DC 20) as a swift action to gain an insight bonus on these Diplomacy or Intimitade checks equal to your Charisma bonus until the end of your next turn. The benefits you gain for this check depend on the skill you use. This is a mind-affecting effect.",Ultimate Magic,Untyped
../monsterCodex/lizardfolk.html#aquatic-adaptation,Aquatic Adaptation,Hold breath,Breathe water as well as air,"You've developed a strange but useful quirk for your race—you can breathe underwater.

Prerequisite: Hold breath.

Benefit: You can breathe water as well as air.",Monster Codex,Untyped
../advancedRaceGuide/featuredRaces/undines.html#aquatic-ancestry,Aquatic Ancestry,Undine,Gain amphibious special quality; swim speed increases by 10 feet,"You favor your outsider ancestry and are better adapted to life in the water.

Prerequisite: Undine.

Benefit: You gain the amphibious special quality. Your swim speed increases by +10 feet.",Advanced Race Guide,Untyped
../advancedPlayersGuide/advancedFeats.html#arcane-blast,Arcane Blast,"Arcane spellcaster, caster level 10th",Sacrifice a spell to make a ray attack,"You can convert any spell into an attack.

Prerequisites: Arcane spellcaster, caster level 10th.

Benefit: As a standard action, you can sacrifice a prepared spell or unused spell slot of 1st level or higher and transform it into a ray, targeting any foe within 30 feet as a ranged touch attack. This attack deals 2d6 points of damage plus an additional 1d6 points of damage for every level of the spell or spell slot you sacrificed. 0-level spells may not be sacrificed in this manner.",Advanced Player's Guide,Untyped
../mythicAdventures/mythicFeats.html#arcane-blast-mythic,Arcane Blast - Mythic,Arcane Blast,Halve the damage to perform trip or bull rush,"You can manipulate raw eldritch energies to do more than just deal damage.

Prerequisite: Arcane Blast.

Benefit: When you use Arcane Blast, you may halve the damage dice to also perform your choice of either a trip or bull rush combat maneuver against the target of the blast. You can't move with an opponent you bull rush with this feat. You gain a bonus on your combat maneuver check for this attempt equal to half the spell level of the spell you sacrificed when using Arcane Blast, and you can substitute your Intelligence or Charisma modifier in place of your Strength modifier when determining your combat maneuver bonus.

In addition, you can expend one use of mythic power to change the damage dice of your Arcane Blast to d8s instead of d6s.",Mythic Adventures,Mythic
../advancedPlayersGuide/advancedFeats.html#arcane-shield,Arcane Shield,"Arcane spellcaster, caster level 10th",Sacrifice a spell to gain deflection bonus to AC,"You can convert any spell into a defense.

Prerequisites: Arcane spellcaster, caster level 10th.

Benefit: As a immediate action, you can sacrifice a prepared spell or unused spell slot of 1st level or higher and gain a deflection bonus to AC equal to the level of the spell or spell slot you sacrificed for 1 round. 0-level spells may not be sacrificed in this manner.",Advanced Player's Guide,Untyped
../mythicAdventures/mythicFeats.html#arcane-shield-mythic,Arcane Shield - Mythic,Arcane Shield,"Add 1/2 your mythic tier to the bonus granted by Arcane Shield, and expend mythic power to extend the shield's duration","You sculpt spells into a powerful, enduring arcane barriers.

Prerequisite: Arcane Shield.

Benefit: You add half your tier to the deflection bonus granted to your AC when you use your Arcane Shield. You can expend one use of mythic power when using this feat to extend the duration to a number of rounds equal to your tier.",Mythic Adventures,Mythic
../coreRulebook/feats.html#arcane-strike,Arcane Strike,Ability to cast arcane spells,+1 damage and weapons are considered magic,"You draw upon your arcane power to enhance your weapons with magical energy.

Prerequisite: Ability to cast arcane spells.

Benefit: As a swift action, you can imbue your weapons with a fraction of your power. For 1 round, your weapons deal +1 damage and are treated as magic for the purpose of overcoming damage reduction. For every five caster levels you possess, this bonus increases by +1, to a maximum of +5 at 20th level.",Core Rulebook,Combat
../mythicAdventures/mythicFeats.html#arcane-strike-mythic,Arcane Strike - Mythic,Arcane Strike,"Arcane strike lasts 1 minute, and expend mythic power to grant magic weapon special abilities","Using your amazing arcane talents, you can deliver devastating blows infused with magical energy.

Prerequisite: Arcane Strike.

Benefit: Whenever you use Arcane Strike to enhance your weapons, the effect lasts for 1 minute instead of 1 round. If you expend one use of mythic power when using Arcane Strike, you can also add any one magic weapon special ability with a base price modifier of +1 to your weapons. This base price modifier increases to +2 at 4th tier, +3 at 7th tier, and +4 at 10th tier.",Mythic Adventures,Mythic
../advancedClassGuide/feats.html#blooded-arcane-strike,Blooded Arcane Strike,"Arcane Strike, bloodrage class feature",Gain the benefits of Arcane Strike while bloodraging,"Arcane energy guides your devastating attack.

Prerequisites: Arcane Strike, ability to cast arcane spells, bloodrage class feature.

Benefit: While you are bloodraging, you don't need to spend a swift action to use your Arcane Strike—it is always in effect. When you use this ability with Vital Strike, Improved Vital Strike, or Greater Vital Strike, the bonus on damage rolls for Arcane Strike is multiplied by the number of times (two, three, or four) you roll damage dice for one of those feats.",Advanced Class Guide,Combat
../ultimateCombat/ultimateCombatFeats.html#dispelling-critical,Dispelling Critical,"Arcane Strike, base attack bonus +11, ability to cast dispel magic","After critical hit, you may cast dispel magic","Your blows attack the physical and arcane forms of your enemies at the same time.

Prerequisites: Arcane Strike, base attack bonus +11, ability to cast dispel magic.

Benefit: If you have dispel magic prepared or can cast it spontaneously, when you score a critical hit against an opponent, you may use a swift action to cast dispel magic to make a targeted dispel against that opponent.",Ultimate Combat,"Combat,Critical"
